,0
1, Azərbaycan Respublikasının inzibati xətalar qanunvericiliyi 1
6," Bu Məcəllə Azərbaycan Respublikasının Konstitusiyasına, hamılıqla qəbul edilmiş beynəlxalq hüququn normalarına və prinsiplərinə əsaslanır"
9, İnzibati məsuliyyət müəyyən edən və inzibati xəta törətmiş şəxsin tənbeh edilməsini nəzərdə tutan qanunlar yalnız bu Məcəlləyə daxil olduqdan sonra tətbiq edilir
12, Ələt azad iqtisadi zonasında inzibati məsuliyyətə səbəb olan əməllər (hərəkət və ya hərəkətsizlik) və bu əməllərə görə inzibati xəta törətmiş şəxsin tənbeh edilməsi “Ələt azad iqtisadi zonası haqqında” Azərbaycan Respublikası Qanununun tələblərinə uyğun olaraq tənzimlənir
13,[1][1] Maddə 2
14," Azərbaycan Respublikasının inzibati xətalar qanunvericiliyinin vəzifələri Azərbaycan Respublikasının inzibati xətalar qanunvericiliyinin vəzifələri insan və vətəndaş hüquqlarını və azadlıqlarını, onların sağlamlığını, əhalinin sanitariya-epidemioloji salamatlığını, ictimai mənəviyyatı, mülkiyyəti, şəxslərin iqtisadi maraqlarını, ictimai qaydanı və ictimai təhlükəsizliyi, ətraf mühiti, idarəçilik qaydalarını qorumaqdan, qanunçuluğu möhkəmləndirməkdən və inzibati xətaların qarşısını almaqdan ibarətdir"
15, Maddə 3
16, İnzibati məsuliyyətin əsasları Yalnız bu Məcəllə ilə nəzərdə tutulmuş inzibati xətanın törədilməsində təqsirli hesab edilən və inzibati xəta tərkibinin bütün digər əlamətlərini daşıyan əməli (hərəkət və ya hərəkətsizliyi) törətmiş şəxs inzibati məsuliyyətə cəlb olunur
17, Maddə 4
18," Azərbaycan Respublikasının inzibati xətalar qanunvericiliyinin prinsipləri Bu Məcəllə insan və vətəndaş hüquqlarına və azadlıqlarına hörmət edilməsi, qanunçuluq, qanun qarşısında bərabərlik, təqsirsizlik prezumpsiyası, ədalətlilik və inzibati xətaların qarşısının alınması prinsiplərinə əsaslanır"
19, Maddə 5
20, İnsan və vətəndaş hüquqlarına və azadlıqlarına hörmət edilməsi prinsipi 5
21,1
22, İnsan və vətəndaş hüquqları və azadlıqları ali dəyərə malikdir
23," Bu hüquqların və azadlıqların pozulmasına yol verən bütün dövlət orqanları, qurumları və vəzifəli şəxslər məsuliyyət daşıyırlar"
24,[2][2]5
25,2
26," Bu Məcəllə insan və vətəndaş hüquqlarının və azadlıqlarının dövlət orqanları, qurumları və vəzifəli şəxslər tərəfindən pozulmasının qarşısının alınmasını və onlara hörmət olunmasını təmin edir"
27,5
28,3
29, İnzibati xətalar haqqında işlər üzrə icraatın təmin olunması tədbirləri tətbiq edilərkən insan ləyaqətini alçaldan qərarların verilməsinə və hərəkətin edilməsinə yol verilmir
30, Maddə 6
31, Qanunçuluq prinsipi 6
32,1
33, İnzibati xətaya görə inzibati tənbeh bu Məcəlləyə uyğun olaraq tətbiq edilir
34,6
35,2
36," İnzibati xəta haqqında iş üzrə icraatın təmin olunması tədbirləri tətbiq edilərkən qanunvericiliyin tələblərinə əməl olunması yuxarı orqanların və vəzifəli şəxslərin idarə nəzarəti ilə, məhkəmə və prokuror nəzarəti ilə və şikayət etmək hüququ ilə təmin edilir"
37,6
38,3
39, Azərbaycan Respublikasının inzibati xətalar qanunvericiliyinin analogiya üzrə tətbiqinə yol verilmir
40, Maddə 7
41, Qanun qarşısında bərabərlik prinsipi 7
42,1
43," İnzibati xəta törətmiş şəxslər irqindən, milliyyətindən, dinindən, dilindən, cinsindən, mənşəyindən, əmlak vəziyyətindən, qulluq mövqeyindən, əqidəsindən və digər hallardan asılı olmayaraq qanun qarşısında bərabərdirlər"
44, Bu maddədə nəzərdə tutulmuş əsaslara görə heç kəs inzibati məsuliyyətə cəlb oluna və inzibati məsuliyyətdən azad oluna bilməz
45,7
46,2
47, Azərbaycan Respublikasının keçmiş Prezidentinin və onun arvadının (ərinin) inzibati məsuliyyətlə bağlı toxunulmazlığı “Azərbaycan Respublikasının keçmiş Prezidentinin və onun ailə üzvlərinin təminatı haqqında” Azərbaycan Respublikasının Konstitusiya Qanunu ilə tənzimlənir
48,7
49,3
50," Hüquqi şəxslər mülkiyyət formasından, yerləşdiyi yerdən, təşkilati-hüquqi formasından və tabeliyindən asılı olmayaraq inzibati məsuliyyətə cəlb edilirlər"
51,  Maddə 8
52, Təqsirsizlik prezumpsiyası prinsipi 8
53,1
54," Barəsində inzibati xəta haqqında iş üzrə icraat aparılan şəxsin təqsiri bu Məcəllədə nəzərdə tutulmuş qaydada sübuta yetmədikdə və bu, inzibati xəta haqqında iş üzrə icraata baxmış hakimin, səlahiyyətli orqanın (vəzifəli şəxsin) qüvvəyə minmiş qərarı ilə müəyyən edilmədikdə o, təqsirsiz hesab edilir"
55,8
56,2
57, İnzibati məsuliyyətə cəlb olunmuş şəxs öz təqsirsizliyini sübut etməyə borclu deyildir
58,8
59,3
60, İnzibati məsuliyyətə cəlb olunan şəxsin təqsirli olması barəsində şübhələr onun xeyrinə həll edilir
61, Maddə 9
62, Ədalətlilik prinsipi 9
63,1
